time,asset,AdrActCnt,CapMVRVCur,CapMrktCurUSD,HashRate,NVTAdj,PriceUSD,SplyCur,TxCnt,TxTfrValAdjUSD,VelCur1yr
2018-03-13 00:00:00+00:00,btc,773506,1.70702426,154974273658.910298311228723136,25845151.9294498,61.0176028,9160.54293278784,16917586.0858879,199201,2539828943.5930387562465934912,36.7574830685283
2018-03-14 00:00:00+00:00,btc,580666,1.53691592,139113345204.638481419211588971,23555075.1762074,58.80657732,8222.12723904149,16919386.0858879,193089,2365608602.5575522234226465141,36.6935321252673
2018-03-15 00:00:00+00:00,btc,602746,1.54749227,139914335208.604390934457124552,23555075.1762074,58.04410423,8268.58912244302,16921186.0858876,201087,2410483150.0166384104811246286,36.6501216422663
2018-03-16 00:00:00+00:00,btc,601517,1.56958433,141763494802.308522284848819008,25517998.1075581,70.43249995,8376.90449824664,16923136.0858872,188256,2012756822.4203855593834483224,36.5430141909962
2018-03-17 00:00:00+00:00,btc,452543,1.47896206,133397116859.145858928117504704,24372959.7309369,96.19349377,7881.66192051432,16924998.5858872,151432,1386758206.1455104017176637544,36.4380228360181
2018-03-18 00:00:00+00:00,btc,535510,1.5372127,138614553160.816856631912577968,25426608.9713916,77.96821465,8189.01671917008,16926886.0858871,164511,1777834131.2759147395464144288,36.3733467103469
2018-03-19 00:00:00+00:00,btc,587514,1.60262445,144521631437.14119991457140587,26679206.959874,59.1823652,8537.0156233197,16928823.5858871,193494,2441971201.299771464054430303,36.3350947898643
2018-03-20 00:00:00+00:00,btc,567891,1.66984764,150605270576.659093918196517371,21859737.3155097,63.77041183,8895.54717913501,16930411.0858871,193222,2361679441.1317840975740836886,36.2780690257769
2018-03-21 00:00:00+00:00,btc,586910,1.66685407,150352052268.78598792999127121,26162835.2122636,64.7973359,8879.5942565751,16932311.0858871,199262,2320343115.813151336963847484,36.2136484483894
2018-03-22 00:00:00+00:00,btc,577941,1.6366036,147507258760.045173467660535288,24613719.9694322,70.68642639,8710.66493512566,16934098.5858868,180421,2086783365.6510926087001395838,36.1309668759605
2018-03-23 00:00:00+00:00,btc,619608,1.64830412,148556200040.7051035898771097608,22892480.8107306,69.17744025,8771.74632349503,16935761.08588536,177341,2147465987.3729154002118906384,36.0599369043555
2018-03-24 00:00:00+00:00,btc,543804,1.61787156,145850435654.061907885548150792,26851330.8757442,97.19809687,8610.9885163647,16937711.08588536,159401,1500548265.42227433916401987,35.8851013102835
2018-03-25 00:00:00+00:00,btc,454187,1.58785272,142978872725.6198633181249919176,23236728.6424709,79.97388604,8440.61092255991,16939398.58588536,137632,1787819497.1576188828111327817,35.7746092213536
2018-03-26 00:00:00+00:00,btc,582295,1.54056226,138430269669.8003729059169118245,25818587.3805233,60.49868181,8171.18435447107,16941273.58588535,187477,2288153485.6536997711086629261,35.7521238037136
2018-03-27 00:00:00+00:00,btc,598612,1.47972397,132788146745.298791549572307451,26162835.2122636,77.62754252,7837.26531940386,16943173.58588535,185428,1710580322.842031563826779863,35.6907305462009
2018-03-28 00:00:00+00:00,btc,552755,1.49995286,134434473959.645372471041653984,23236728.6424709,67.30408858,7933.64272969024,16944861.08588535,181035,1997419128.4842960271306628032,35.6363657269663
2018-03-29 00:00:00+00:00,btc,559619,1.34902071,120467251234.393093744064184985,26162835.2122636,61.32036425,7108.5708132671,16946761.08586535,189556,1964555375.820932738169409105,35.5910978457555
2018-03-30 00:00:00+00:00,btc,571020,1.30076662,115796633032.064725560349207618,27884074.3709651,55.48552017,6832.14906633548,16948786.08586535,183947,2086970306.5479350859348600372,35.5437226752315
2018-03-31 00:00:00+00:00,btc,475498,1.31875342,117335340577.46039068337849184,22031861.2313799,92.89038284,6922.2812969024,16950386.08586535,149294,1263159188.240126393809736,35.4593319043996
2018-04-01 00:00:00+00:00,btc,425276,1.29804435,115353102998.0673600995409613725,28151789.8209148,92.69885453,6804.52487931035,16952411.08586535,133901,1244385419.6633120408144780055,35.418556970715
